t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t0.082; p1, -0.495919, 0.0578267, 0; p2, 0.495919, -0.0578267, 0; p3, 0, 0, 0
t0.083; p1, -0.495819, 0.0585281, 0; p2, 0.495819, -0.0585281, 0; p3, 0, 0, 0
t0.084; p1, -0.495719, 0.0592293, 0; p2, 0.495719, -0.0592293, 0; p3, 0, 0, 0
t0.085; p1, -0.495617, 0.0599303, 0; p2, 0.495617, -0.0599303, 0; p3, 0, 0, 0
t0.086; p1, -0.495514, 0.0606312, 0; p2, 0.495514, -0.0606312, 0; p3, 0, 0, 0
t0.087; p1, -0.49541, 0.061332, 0; p2, 0.49541, -0.061332, 0; p3, 0, 0, 0
t0.088; p1, -0.495304, 0.0620326, 0; p2, 0.495304, -0.0620326, 0; p3, 0, 0, 0
t0.089; p1, -0.495197, 0.062733, 0; p2, 0.495197, -0.062733, 0; p3, 0, 0, 0
t0.09; p1, -0.49509, 0.0634333, 0; p2, 0.49509, -0.0634333, 0; p3, 0, 0, 0
t0.091; p1, -0.494981, 0.0641335, 0; p2, 0.494981, -0.0641335, 0; p3, 0, 0, 0
t0.092; p1, -0.49487, 0.0648335, 0; p2, 0.49487, -0.0648335, 0; p3, 0, 0, 0
t0.093; p1, -0.494759, 0.0655333, 0; p2, 0.494759, -0.0655333, 0; p3, 0, 0, 0
t0.094; p1, -0.494646, 0.066233, 0; p2, 0.494646, -0.066233, 0; p3, 0, 0, 0
t0.095; p1, -0.494532, 0.0669325, 0; p2, 0.494532, -0.0669325, 0; p3, 0, 0, 0
t0.096; p1, -0.494417, 0.0676319, 0; p2, 0.494417, -0.0676319, 0; p3, 0, 0, 0
t0.097; p1, -0.494301, 0.0683311, 0; p2, 0.494301, -0.0683311, 0; p3, 0, 0, 0
t0.098; p1, -0.494184, 0.0690301, 0; p2, 0.494184, -0.0690301, 0; p3, 0, 0, 0
t0.099; p1, -0.494065, 0.069729, 0; p2, 0.494065, -0.069729, 0; p3, 0, 0, 0
t0.1; p1, -0.493946, 0.0704276, 0; p2, 0.493946, -0.0704276, 0; p3, 0, 0, 0
t0.101; p1, -0.493825, 0.0711262, 0; p2, 0.493825, -0.0711262, 0; p3, 0, 0, 0
t0.102; p1, -0.493702, 0.0718245, 0; p2, 0.493702, -0.0718245, 0; p3, 0, 0, 0
t0.103; p1, -0.493579, 0.0725227, 0; p2, 0.493579, -0.0725227, 0; p3, 0, 0, 0
t0.104; p1, -0.493455, 0.0732207, 0; p2, 0.493455, -0.0732207, 0; p3, 0, 0, 0
t0.105; p1, -0.493329, 0.0739185, 0; p2, 0.493329, -0.0739185, 0; p3, 0, 0, 0
t0.106; p1, -0.493202, 0.0746162, 0; p2, 0.493202, -0.0746162, 0; p3, 0, 0, 0
t0.107; p1, -0.493074, 0.0753137, 0; p2, 0.493074, -0.0753137, 0; p3, 0, 0, 0
t0.108; p1, -0.492944, 0.0760109, 0; p2, 0.492944, -0.0760109, 0; p3, 0, 0, 0
t0.109; p1, -0.492814, 0.0767081, 0; p2, 0.492814, -0.0767081, 0; p3, 0, 0, 0
t0.11; p1, -0.492682, 0.077405, 0; p2, 0.492682, -0.077405, 0; p3, 0, 0, 0
t0.111; p1, -0.492549, 0.0781017, 0; p2, 0.492549, -0.0781017, 0; p3, 0, 0, 0
t0.112; p1, -0.492415, 0.0787982, 0; p2, 0.492415, -0.0787982, 0; p3, 0, 0, 0
t0.113; p1, -0.49228, 0.0794946, 0; p2, 0.49228, -0.0794946, 0; p3, 0, 0, 0
t0.114; p1, -0.492143, 0.0801908, 0; p2, 0.492143, -0.0801908, 0; p3, 0, 0, 0
t0.115; p1, -0.492006, 0.0808867, 0; p2, 0.492006, -0.0808867, 0; p3, 0, 0, 0
t0.116; p1, -0.491867, 0.0815825, 0; p2, 0.491867, -0.0815825, 0; p3, 0, 0, 0
t0.117; p1, -0.491727, 0.0822781, 0; p2, 0.491727, -0.0822781, 0; p3, 0, 0, 0
t0.118; p1, -0.491586, 0.0829734, 0; p2, 0.491586, -0.0829734, 0; p3, 0, 0, 0
t0.119; p1, -0.491443, 0.0836686, 0; p2, 0.491443, -0.0836686, 0; p3, 0, 0, 0
t0.12; p1, -0.4913, 0.0843636, 0; p2, 0.4913, -0.0843636, 0; p3, 0, 0, 0
t0.121; p1, -0.491155, 0.0850583, 0; p2, 0.491155, -0.0850583, 0; p3, 0, 0, 0
t0.122; p1, -0.491009, 0.0857529, 0; p2, 0.491009, -0.0857529, 0; p3, 0, 0, 0
t0.123; p1, -0.490862, 0.0864472, 0; p2, 0.490862, -0.0864472, 0; p3, 0, 0, 0
t0.124; p1, -0.490713, 0.0871414, 0; p2, 0.490713, -0.0871414, 0; p3, 0, 0, 0
t0.125; p1, -0.490564, 0.0878353, 0; p2, 0.490564, -0.0878353, 0; p3, 0, 0, 0
t0.126; p1, -0.490413, 0.088529, 0; p2, 0.490413, -0.088529, 0; p3, 0, 0, 0
t0.127; p1, -0.490261, 0.0892225, 0; p2, 0.490261, -0.0892225, 0; p3, 0, 0, 0
t0.128; p1, -0.490108, 0.0899158, 0; p2, 0.490108, -0.0899158, 0; p3, 0, 0, 0
t0.129; p1, -0.489954, 0.0906089, 0; p2, 0.489954, -0.0906089, 0; p3, 0, 0, 0
t0.13; p1, -0.489798, 0.0913017, 0; p2, 0.489798, -0.0913017, 0; p3, 0, 0, 0
t0.131; p1, -0.489641, 0.0919944, 0; p2, 0.489641, -0.0919944, 0; p3, 0, 0, 0
t0.132; p1, -0.489484, 0.0926868, 0; p2, 0.489484, -0.0926868, 0; p3, 0, 0, 0
t0.133; p1, -0.489325, 0.093379, 0; p2, 0.489325, -0.093379, 0; p3, 0, 0, 0
t0.134; p1, -0.489164, 0.0940709, 0; p2, 0.489164, -0.0940709, 0; p3, 0, 0, 0
t0.135; p1, -0.489003, 0.0947626, 0; p2, 0.489003, -0.0947626, 0; p3, 0, 0, 0
t0.136; p1, -0.48884, 0.0954541, 0; p2, 0.48884, -0.0954541, 0; p3, 0, 0, 0
t0.137; p1, -0.488676, 0.0961454, 0; p2, 0.488676, -0.0961454, 0; p3, 0, 0, 0
t0.138; p1, -0.488511, 0.0968364, 0; p2, 0.488511, -0.0968364, 0; p3, 0, 0, 0
t0.139; p1, -0.488345, 0.0975272, 0; p2, 0.488345, -0.0975272, 0; p3, 0, 0, 0
t0.14; p1, -0.488178, 0.0982178, 0; p2, 0.488178, -0.0982178, 0; p3, 0, 0, 0
t0.141; p1, -0.488009, 0.0989081, 0; p2, 0.488009, -0.0989081, 0; p3, 0, 0, 0
t0.142; p1, -0.48784, 0.0995982, 0; p2, 0.48784, -0.0995982, 0; p3, 0, 0, 0
t0.143; p1, -0.487669, 0.100288, 0; p2, 0.487669, -0.100288, 0; p3, 0, 0, 0
t0.144; p1, -0.487497, 0.100978, 0; p2, 0.487497, -0.100978, 0; p3, 0, 0, 0
t0.145; p1, -0.487323, 0.101667, 0; p2, 0.487323, -0.101667, 0; p3, 0, 0, 0
t0.146; p1, -0.487149, 0.102356, 0; p2, 0.487149, -0.102356, 0; p3, 0, 0, 0
t0.147; p1, -0.486973, 0.103045, 0; p2, 0.486973, -0.103045, 0; p3, 0, 0, 0
t0.148; p1, -0.486796, 0.103733, 0; p2, 0.486796, -0.103733, 0; p3, 0, 0, 0
t0.149; p1, -0.486618, 0.104422, 0; p2, 0.486618, -0.104422, 0; p3, 0, 0, 0
t0.15; p1, -0.486439, 0.10511, 0; p2, 0.486439, -0.10511, 0; p3, 0, 0, 0
t0.151; p1, -0.486259, 0.105798, 0; p2, 0.486259, -0.105798, 0; p3, 0, 0, 0
t0.152; p1, -0.486077, 0.106485, 0; p2, 0.486077, -0.106485, 0; p3, 0, 0, 0
t0.153; p1, -0.485894, 0.107173, 0; p2, 0.485894, -0.107173, 0; p3, 0, 0, 0
t0.154; p1, -0.48571, 0.10786, 0; p2, 0.48571, -0.10786, 0; p3, 0, 0, 0
