t0; p1, -0.5, 0, 0; p2, 0.5, 0, 0; p3, 0, 0, 0
t22.373; p1, -0.485423, -0.10963, 0; p2, 0.485423, 0.10963, 0; p3, 0, 0, 0
t22.374; p1, -0.485609, -0.108944, 0; p2, 0.485609, 0.108944, 0; p3, 0, 0, 0
t22.375; p1, -0.485793, -0.108257, 0; p2, 0.485793, 0.108257, 0; p3, 0, 0, 0
t22.376; p1, -0.485977, -0.10757, 0; p2, 0.485977, 0.10757, 0; p3, 0, 0, 0
t22.377; p1, -0.486159, -0.106883, 0; p2, 0.486159, 0.106883, 0; p3, 0, 0, 0
t22.378; p1, -0.48634, -0.106195, 0; p2, 0.48634, 0.106195, 0; p3, 0, 0, 0
t22.379; p1, -0.48652, -0.105508, 0; p2, 0.48652, 0.105508, 0; p3, 0, 0, 0
t22.38; p1, -0.486698, -0.10482, 0; p2, 0.486698, 0.10482, 0; p3, 0, 0, 0
t22.381; p1, -0.486876, -0.104131, 0; p2, 0.486876, 0.104131, 0; p3, 0, 0, 0
t22.382; p1, -0.487052, -0.103443, 0; p2, 0.487052, 0.103443, 0; p3, 0, 0, 0
t22.383; p1, -0.487227, -0.102754, 0; p2, 0.487227, 0.102754, 0; p3, 0, 0, 0
t22.384; p1, -0.487401, -0.102065, 0; p2, 0.487401, 0.102065, 0; p3, 0, 0, 0
t22.385; p1, -0.487574, -0.101376, 0; p2, 0.487574, 0.101376, 0; p3, 0, 0, 0
t22.386; p1, -0.487745, -0.100687, 0; p2, 0.487745, 0.100687, 0; p3, 0, 0, 0
t22.387; p1, -0.487916, -0.0999969, 0; p2, 0.487916, 0.0999969, 0; p3, 0, 0, 0
t22.388; p1, -0.488085, -0.099307, 0; p2, 0.488085, 0.099307, 0; p3, 0, 0, 0
t22.389; p1, -0.488253, -0.0986168, 0; p2, 0.488253, 0.0986168, 0; p3, 0, 0, 0
t22.39; p1, -0.48842, -0.0979264, 0; p2, 0.48842, 0.0979264, 0; p3, 0, 0, 0
t22.391; p1, -0.488585, -0.0972357, 0; p2, 0.488585, 0.0972357, 0; p3, 0, 0, 0
t22.392; p1, -0.48875, -0.0965448, 0; p2, 0.48875, 0.0965448, 0; p3, 0, 0, 0
t22.393; p1, -0.488913, -0.0958537, 0; p2, 0.488913, 0.0958537, 0; p3, 0, 0, 0
t22.394; p1, -0.489075, -0.0951623, 0; p2, 0.489075, 0.0951623, 0; p3, 0, 0, 0
t22.395; p1, -0.489236, -0.0944707, 0; p2, 0.489236, 0.0944707, 0; p3, 0, 0, 0
t22.396; p1, -0.489396, -0.0937789, 0; p2, 0.489396, 0.0937789, 0; p3, 0, 0, 0
t22.397; p1, -0.489554, -0.0930868, 0; p2, 0.489554, 0.0930868, 0; p3, 0, 0, 0
t22.398; p1, -0.489711, -0.0923945, 0; p2, 0.489711, 0.0923945, 0; p3, 0, 0, 0
t22.399; p1, -0.489867, -0.091702, 0; p2, 0.489867, 0.091702, 0; p3, 0, 0, 0
t22.4; p1, -0.490022, -0.0910093, 0; p2, 0.490022, 0.0910093, 0; p3, 0, 0, 0
t22.401; p1, -0.490176, -0.0903163, 0; p2, 0.490176, 0.0903163, 0; p3, 0, 0, 0
t22.402; p1, -0.490329, -0.0896232, 0; p2, 0.490329, 0.0896232, 0; p3, 0, 0, 0
t22.403; p1, -0.49048, -0.0889298, 0; p2, 0.49048, 0.0889298, 0; p3, 0, 0, 0
t22.404; p1, -0.49063, -0.0882362, 0; p2, 0.49063, 0.0882362, 0; p3, 0, 0, 0
t22.405; p1, -0.490779, -0.0875424, 0; p2, 0.490779, 0.0875424, 0; p3, 0, 0, 0
t22.406; p1, -0.490927, -0.0868483, 0; p2, 0.490927, 0.0868483, 0; p3, 0, 0, 0
t22.407; p1, -0.491074, -0.0861541, 0; p2, 0.491074, 0.0861541, 0; p3, 0, 0, 0
t22.408; p1, -0.491219, -0.0854596, 0; p2, 0.491219, 0.0854596, 0; p3, 0, 0, 0
t22.409; p1, -0.491363, -0.084765, 0; p2, 0.491363, 0.084765, 0; p3, 0, 0, 0
t22.41; p1, -0.491506, -0.0840701, 0; p2, 0.491506, 0.0840701, 0; p3, 0, 0, 0
t22.411; p1, -0.491648, -0.0833751, 0; p2, 0.491648, 0.0833751, 0; p3, 0, 0, 0
t22.412; p1, -0.491789, -0.0826798, 0; p2, 0.491789, 0.0826798, 0; p3, 0, 0, 0
t22.413; p1, -0.491928, -0.0819843, 0; p2, 0.491928, 0.0819843, 0; p3, 0, 0, 0
t22.414; p1, -0.492067, -0.0812887, 0; p2, 0.492067, 0.0812887, 0; p3, 0, 0, 0
t22.415; p1, -0.492204, -0.0805928, 0; p2, 0.492204, 0.0805928, 0; p3, 0, 0, 0
t22.416; p1, -0.49234, -0.0798968, 0; p2, 0.49234, 0.0798968, 0; p3, 0, 0, 0
t22.417; p1, -0.492474, -0.0792005, 0; p2, 0.492474, 0.0792005, 0; p3, 0, 0, 0
t22.418; p1, -0.492608, -0.0785041, 0; p2, 0.492608, 0.0785041, 0; p3, 0, 0, 0
t22.419; p1, -0.49274, -0.0778075, 0; p2, 0.49274, 0.0778075, 0; p3, 0, 0, 0
t22.42; p1, -0.492871, -0.0771106, 0; p2, 0.492871, 0.0771106, 0; p3, 0, 0, 0
t22.421; p1, -0.493001, -0.0764136, 0; p2, 0.493001, 0.0764136, 0; p3, 0, 0, 0
t22.422; p1, -0.49313, -0.0757165, 0; p2, 0.49313, 0.0757165, 0; p3, 0, 0, 0
t22.423; p1, -0.493258, -0.0750191, 0; p2, 0.493258, 0.0750191, 0; p3, 0, 0, 0
t22.424; p1, -0.493384, -0.0743215, 0; p2, 0.493384, 0.0743215, 0; p3, 0, 0, 0
t22.425; p1, -0.493509, -0.0736238, 0; p2, 0.493509, 0.0736238, 0; p3, 0, 0, 0
t22.426; p1, -0.493633, -0.0729259, 0; p2, 0.493633, 0.0729259, 0; p3, 0, 0, 0
t22.427; p1, -0.493756, -0.0722278, 0; p2, 0.493756, 0.0722278, 0; p3, 0, 0, 0
t22.428; p1, -0.493878, -0.0715295, 0; p2, 0.493878, 0.0715295, 0; p3, 0, 0, 0
t22.429; p1, -0.493998, -0.0708311, 0; p2, 0.493998, 0.0708311, 0; p3, 0, 0, 0
t22.43; p1, -0.494117, -0.0701325, 0; p2, 0.494117, 0.0701325, 0; p3, 0, 0, 0
t22.431; p1, -0.494235, -0.0694337, 0; p2, 0.494235, 0.0694337, 0; p3, 0, 0, 0
t22.432; p1, -0.494352, -0.0687348, 0; p2, 0.494352, 0.0687348, 0; p3, 0, 0, 0
t22.433; p1, -0.494468, -0.0680357, 0; p2, 0.494468, 0.0680357, 0; p3, 0, 0, 0
t22.434; p1, -0.494582, -0.0673364, 0; p2, 0.494582, 0.0673364, 0; p3, 0, 0, 0
t22.435; p1, -0.494696, -0.066637, 0; p2, 0.494696, 0.066637, 0; p3, 0, 0, 0
t22.436; p1, -0.494808, -0.0659374, 0; p2, 0.494808, 0.0659374, 0; p3, 0, 0, 0
t22.437; p1, -0.494919, -0.0652377, 0; p2, 0.494919, 0.0652377, 0; p3, 0, 0, 0
t22.438; p1, -0.495028, -0.0645377, 0; p2, 0.495028, 0.0645377, 0; p3, 0, 0, 0
t22.439; p1, -0.495137, -0.0638377, 0; p2, 0.495137, 0.0638377, 0; p3, 0, 0, 0
t22.44; p1, -0.495244, -0.0631375, 0; p2, 0.495244, 0.0631375, 0; p3, 0, 0, 0
t22.441; p1, -0.49535, -0.0624371, 0; p2, 0.49535, 0.0624371, 0; p3, 0, 0, 0
t22.442; p1, -0.495455, -0.0617366, 0; p2, 0.495455, 0.0617366, 0; p3, 0, 0, 0
t22.443; p1, -0.495559, -0.0610359, 0; p2, 0.495559, 0.0610359, 0; p3, 0, 0, 0
t22.444; p1, -0.495661, -0.0603351, 0; p2, 0.495661, 0.0603351, 0; p3, 0, 0, 0
t22.445; p1, -0.495763, -0.0596341, 0; p2, 0.495763, 0.0596341, 0; p3, 0, 0, 0
t22.446; p1, -0.495863, -0.058933, 0; p2, 0.495863, 0.058933, 0; p3, 0, 0, 0
t22.447; p1, -0.495962, -0.0582318, 0; p2, 0.495962, 0.0582318, 0; p3, 0, 0, 0
t22.448; p1, -0.496059, -0.0575304, 0; p2, 0.496059, 0.0575304, 0; p3, 0, 0, 0
t22.449; p1, -0.496156, -0.0568289, 0; p2, 0.496156, 0.0568289, 0; p3, 0, 0, 0
t22.45; p1, -0.496251, -0.0561272, 0; p2, 0.496251, 0.0561272, 0; p3, 0, 0, 0
t22.451; p1, -0.496346, -0.0554254, 0; p2, 0.496346, 0.0554254, 0; p3, 0, 0, 0
t22.452; p1, -0.496438, -0.0547235, 0; p2, 0.496438, 0.0547235, 0; p3, 0, 0, 0
t22.453; p1, -0.49653, -0.0540214, 0; p2, 0.49653, 0.0540214, 0; p3, 0, 0, 0
t22.454; p1, -0.496621, -0.0533192, 0; p2, 0.496621, 0.0533192, 0; p3, 0, 0, 0
t22.455; p1, -0.49671, -0.0526169, 0; p2, 0.49671, 0.0526169, 0; p3, 0, 0, 0
t22.456; p1, -0.496798, -0.0519144, 0; p2, 0.496798, 0.0519144, 0; p3, 0, 0, 0
t22.457; p1, -0.496885, -0.0512119, 0; p2, 0.496885, 0.0512119, 0; p3, 0, 0, 0
t22.458; p1, -0.496971, -0.0505092, 0; p2, 0.496971, 0.0505092, 0; p3, 0, 0, 0
t22.459; p1, -0.497056, -0.0498063, 0; p2, 0.497056, 0.0498063, 0; p3, 0, 0, 0
t22.46; p1, -0.497139, -0.0491034, 0; p2, 0.497139, 0.0491034, 0; p3, 0, 0, 0
t22.461; p1, -0.497221, -0.0484003, 0; p2, 0.497221, 0.0484003, 0; p3, 0, 0, 0
t22.462; p1, -0.497302, -0.0476972, 0; p2, 0.497302, 0.0476972, 0; p3, 0, 0, 0
t22.463; p1, -0.497382, -0.0469939, 0; p2, 0.497382, 0.0469939, 0; p3, 0, 0, 0
t22.464; p1, -0.497461, -0.0462905, 0; p2, 0.497461, 0.0462905, 0; p3, 0, 0, 0
t22.465; p1, -0.497538, -0.045587, 0; p2, 0.497538, 0.045587, 0; p3, 0, 0, 0
t22.466; p1, -0.497614, -0.0448834, 0; p2, 0.497614, 0.0448834, 0; p3, 0, 0, 0
t22.467; p1, -0.497689, -0.0441796, 0; p2, 0.497689, 0.0441796, 0; p3, 0, 0, 0
t22.468; p1, -0.497763, -0.0434758, 0; p2, 0.497763, 0.0434758, 0; p3, 0, 0, 0
t22.469; p1, -0.497836, -0.0427718, 0; p2, 0.497836, 0.0427718, 0; p3, 0, 0, 0
t22.47; p1, -0.497907, -0.0420678, 0; p2, 0.497907, 0.0420678, 0; p3, 0, 0, 0
t22.471; p1, -0.497978, -0.0413637, 0; p2, 0.497978, 0.0413637, 0; p3, 0, 0, 0
t22.472; p1, -0.498047, -0.0406594, 0; p2, 0.498047, 0.0406594, 0; p3, 0, 0, 0
t22.473; p1, -0.498114, -0.0399551, 0; p2, 0.498114, 0.0399551, 0; p3, 0, 0, 0
t22.474; p1, -0.498181, -0.0392506, 0; p2, 0.498181, 0.0392506, 0; p3, 0, 0, 0
t22.475; p1, -0.498246, -0.0385461, 0; p2, 0.498246, 0.0385461, 0; p3, 0, 0, 0
t22.476; p1, -0.498311, -0.0378415, 0; p2, 0.498311, 0.0378415, 0; p3, 0, 0, 0
t22.477; p1, -0.498374, -0.0371368, 0; p2, 0.498374, 0.0371368, 0; p3, 0, 0, 0
t22.478; p1, -0.498436, -0.0364319, 0; p2, 0.498436, 0.0364319, 0; p3, 0, 0, 0
t22.479; p1, -0.498496, -0.0357271, 0; p2, 0.498496, 0.0357271, 0; p3, 0, 0, 0
t22.48; p1, -0.498556, -0.0350221, 0; p2, 0.498556, 0.0350221, 0; p3, 0, 0, 0
t22.481; p1, -0.498614, -0.034317, 0; p2, 0.498614, 0.034317, 0; p3, 0, 0, 0
t22.482; p1, -0.498671, -0.0336119, 0; p2, 0.498671, 0.0336119, 0; p3, 0, 0, 0
t22.483; p1, -0.498727, -0.0329066, 0; p2, 0.498727, 0.0329066, 0; p3, 0, 0, 0
t22.484; p1, -0.498782, -0.0322013, 0; p2, 0.498782, 0.0322013, 0; p3, 0, 0, 0
t22.485; p1, -0.498835, -0.031496, 0; p2, 0.498835, 0.031496, 0; p3, 0, 0, 0
t22.486; p1, -0.498887, -0.0307905, 0; p2, 0.498887, 0.0307905, 0; p3, 0, 0, 0
t22.487; p1, -0.498938, -0.030085, 0; p2, 0.498938, 0.030085, 0; p3, 0, 0, 0
t22.488; p1, -0.498988, -0.0293794, 0; p2, 0.498988, 0.0293794, 0; p3, 0, 0, 0
t22.489; p1, -0.499037, -0.0286737, 0; p2, 0.499037, 0.0286737, 0; p3, 0, 0, 0
t22.49; p1, -0.499084, -0.0279679, 0; p2, 0.499084, 0.0279679, 0; p3, 0, 0, 0
t22.491; p1, -0.499131, -0.0272621, 0; p2, 0.499131, 0.0272621, 0; p3, 0, 0, 0
t22.492; p1, -0.499176, -0.0265563, 0; p2, 0.499176, 0.0265563, 0; p3, 0, 0, 0
t22.493; p1, -0.49922, -0.0258503, 0; p2, 0.49922, 0.0258503, 0; p3, 0, 0, 0
t22.494; p1, -0.499262, -0.0251443, 0; p2, 0.499262, 0.0251443, 0; p3, 0, 0, 0
t22.495; p1, -0.499304, -0.0244382, 0; p2, 0.499304, 0.0244382, 0; p3, 0, 0, 0
t22.496; p1, -0.499344, -0.0237321, 0; p2, 0.499344, 0.0237321, 0; p3, 0, 0, 0
t22.497; p1, -0.499383, -0.0230259, 0; p2, 0.499383, 0.0230259, 0; p3, 0, 0, 0
t22.498; p1, -0.499421, -0.0223197, 0; p2, 0.499421, 0.0223197, 0; p3, 0, 0, 0
t22.499; p1, -0.499458, -0.0216134, 0; p2, 0.499458, 0.0216134, 0; p3, 0, 0, 0
t22.5; p1, -0.499493, -0.0209071, 0; p2, 0.499493, 0.0209071, 0; p3, 0, 0, 0
t22.501; p1, -0.499527, -0.0202007, 0; p2, 0.499527, 0.0202007, 0; p3, 0, 0, 0
t22.502; p1, -0.49956, -0.0194943, 0; p2, 0.49956, 0.0194943, 0; p3, 0, 0, 0
t22.503; p1, -0.499592, -0.0187878, 0; p2, 0.499592, 0.0187878, 0; p3, 0, 0, 0
t22.504; p1, -0.499623, -0.0180812, 0; p2, 0.499623, 0.0180812, 0; p3, 0, 0, 0
t22.505; p1, -0.499652, -0.0173747, 0; p2, 0.499652, 0.0173747, 0; p3, 0, 0, 0
t22.506; p1, -0.499681, -0.0166681, 0; p2, 0.499681, 0.0166681, 0; p3, 0, 0, 0
t22.507; p1, -0.499708, -0.0159614, 0; p2, 0.499708, 0.0159614, 0; p3, 0, 0, 0
t22.508; p1, -0.499734, -0.0152547, 0; p2, 0.499734, 0.0152547, 0; p3, 0, 0, 0
t22.509; p1, -0.499758, -0.014548, 0; p2, 0.499758, 0.014548, 0; p3, 0, 0, 0
t22.51; p1, -0.499782, -0.0138412, 0; p2, 0.499782, 0.0138412, 0; p3, 0, 0, 0
t22.511; p1, -0.499804, -0.0131344, 0; p2, 0.499804, 0.0131344, 0; p3, 0, 0, 0
t22.512; p1, -0.499825, -0.0124276, 0; p2, 0.499825, 0.0124276, 0; p3, 0, 0, 0
t22.513; p1, -0.499845, -0.0117207, 0; p2, 0.499845, 0.0117207, 0; p3, 0, 0, 0
t22.514; p1, -0.499864, -0.0110138, 0; p2, 0.499864, 0.0110138, 0; p3, 0, 0, 0
t22.515; p1, -0.499881, -0.0103069, 0; p2, 0.499881, 0.0103069, 0; p3, 0, 0, 0
t22.516; p1, -0.499898, -0.00959998, 0; p2, 0.499898, 0.00959998, 0; p3, 0, 0, 0
t22.517; p1, -0.499913, -0.00889302, 0; p2, 0.499913, 0.00889302, 0; p3, 0, 0, 0
t22.518; p1, -0.499927, -0.00818604, 0; p2, 0.499927, 0.00818604, 0; p3, 0, 0, 0
t22.519; p1, -0.499939, -0.00747903, 0; p2, 0.499939, 0.00747903, 0; p3, 0, 0, 0
t22.52; p1, -0.499951, -0.00677201, 0; p2, 0.499951, 0.00677201, 0; p3, 0, 0, 0
t22.521; p1, -0.499961, -0.00606498, 0; p2, 0.499961, 0.00606498, 0; p3, 0, 0, 0
t22.522; p1, -0.49997, -0.00535792, 0; p2, 0.49997, 0.00535792, 0; p3, 0, 0, 0
t22.523; p1, -0.499978, -0.00465086, 0; p2, 0.499978, 0.00465086, 0; p3, 0, 0, 0
t22.524; p1, -0.499985, -0.00394378, 0; p2, 0.499985, 0.00394378, 0; p3, 0, 0, 0
t22.525; p1, -0.49999, -0.0032367, 0; p2, 0.49999, 0.0032367, 0; p3, 0, 0, 0
t22.526; p1, -0.499994, -0.00252961, 0; p2, 0.499994, 0.00252961, 0; p3, 0, 0, 0
t22.527; p1, -0.499998, -0.00182251, 0; p2, 0.499998, 0.00182251, 0; p3, 0, 0, 0
t22.528; p1, -0.499999, -0.0011154, 0; p2, 0.499999, 0.0011154, 0; p3, 0, 0, 0
t22.529; p1, -0.5, -0.000408297, 0; p2, 0.5, 0.000408297, 0; p3, 0, 0, 0
t22.53; p1, -0.5, 0.00029881, 0; p2, 0.5, -0.00029881, 0; p3, 0, 0, 0
t22.531; p1, -0.499998, 0.00100592, 0; p2, 0.499998, -0.00100592, 0; p3, 0, 0, 0
t22.532; p1, -0.499995, 0.00171302, 0; p2, 0.499995, -0.00171302, 0; p3, 0, 0, 0
t22.533; p1, -0.499991, 0.00242012, 0; p2, 0.499991, -0.00242012, 0; p3, 0, 0, 0
t22.534; p1, -0.499986, 0.00312721, 0; p2, 0.499986, -0.00312721, 0; p3, 0, 0, 0
t22.535; p1, -0.499979, 0.0038343, 0; p2, 0.499979, -0.0038343, 0; p3, 0, 0, 0
t22.536; p1, -0.499971, 0.00454138, 0; p2, 0.499971, -0.00454138, 0; p3, 0, 0, 0
t22.537; p1, -0.499962, 0.00524844, 0; p2, 0.499962, -0.00524844, 0; p3, 0, 0, 0
t22.538; p1, -0.499952, 0.0059555, 0; p2, 0.499952, -0.0059555, 0; p3, 0, 0, 0
t22.539; p1, -0.499941, 0.00666254, 0; p2, 0.499941, -0.00666254, 0; p3, 0, 0, 0
t22.54; p1, -0.499928, 0.00736956, 0; p2, 0.499928, -0.00736956, 0; p3, 0, 0, 0
t22.541; p1, -0.499915, 0.00807657, 0; p2, 0.499915, -0.00807657, 0; p3, 0, 0, 0
t22.542; p1, -0.4999, 0.00878355, 0; p2, 0.4999, -0.00878355, 0; p3, 0, 0, 0
t22.543; p1, -0.499884, 0.00949052, 0; p2, 0.499884, -0.00949052, 0; p3, 0, 0, 0
t22.544; p1, -0.499866, 0.0101975, 0; p2, 0.499866, -0.0101975, 0; p3, 0, 0, 0
t22.545; p1, -0.499848, 0.0109044, 0; p2, 0.499848, -0.0109044, 0; p3, 0, 0, 0
t22.546; p1, -0.499828, 0.0116113, 0; p2, 0.499828, -0.0116113, 0; p3, 0, 0, 0
t22.547; p1, -0.499807, 0.0123181, 0; p2, 0.499807, -0.0123181, 0; p3, 0, 0, 0
t22.548; p1, -0.499785, 0.013025, 0; p2, 0.499785, -0.013025, 0; p3, 0, 0, 0
t22.549; p1, -0.499762, 0.0137318, 0; p2, 0.499762, -0.0137318, 0; p3, 0, 0, 0
t22.55; p1, -0.499737, 0.0144385, 0; p2, 0.499737, -0.0144385, 0; p3, 0, 0, 0
t22.551; p1, -0.499712, 0.0151453, 0; p2, 0.499712, -0.0151453, 0; p3, 0, 0, 0
t22.552; p1, -0.499685, 0.015852, 0; p2, 0.499685, -0.015852, 0; p3, 0, 0, 0
t22.553; p1, -0.499657, 0.0165586, 0; p2, 0.499657, -0.0165586, 0; p3, 0, 0, 0
t22.554; p1, -0.499627, 0.0172653, 0; p2, 0.499627, -0.0172653, 0; p3, 0, 0, 0
t22.555; p1, -0.499597, 0.0179718, 0; p2, 0.499597, -0.0179718, 0; p3, 0, 0, 0
t22.556; p1, -0.499565, 0.0186784, 0; p2, 0.499565, -0.0186784, 0; p3, 0, 0, 0
t22.557; p1, -0.499532, 0.0193849, 0; p2, 0.499532, -0.0193849, 0; p3, 0, 0, 0
t22.558; p1, -0.499498, 0.0200913, 0; p2, 0.499498, -0.0200913, 0; p3, 0, 0, 0
t22.559; p1, -0.499463, 0.0207977, 0; p2, 0.499463, -0.0207977, 0; p3, 0, 0, 0
t22.56; p1, -0.499426, 0.0215041, 0; p2, 0.499426, -0.0215041, 0; p3, 0, 0, 0
t22.561; p1, -0.499389, 0.0222104, 0; p2, 0.499389, -0.0222104, 0; p3, 0, 0, 0
t22.562; p1, -0.49935, 0.0229166, 0; p2, 0.49935, -0.0229166, 0; p3, 0, 0, 0
t22.563; p1, -0.49931, 0.0236228, 0; p2, 0.49931, -0.0236228, 0; p3, 0, 0, 0
t22.564; p1, -0.499268, 0.0243289, 0; p2, 0.499268, -0.0243289, 0; p3, 0, 0, 0
t22.565; p1, -0.499226, 0.025035, 0; p2, 0.499226, -0.025035, 0; p3, 0, 0, 0
t22.566; p1, -0.499182, 0.025741, 0; p2, 0.499182, -0.025741, 0; p3, 0, 0, 0
t22.567; p1, -0.499137, 0.0264469, 0; p2, 0.499137, -0.0264469, 0; p3, 0, 0, 0
t22.568; p1, -0.499091, 0.0271528, 0; p2, 0.499091, -0.0271528, 0; p3, 0, 0, 0
t22.569; p1, -0.499044, 0.0278587, 0; p2, 0.499044, -0.0278587, 0; p3, 0, 0, 0
t22.57; p1, -0.498995, 0.0285644, 0; p2, 0.498995, -0.0285644, 0; p3, 0, 0, 0
t22.571; p1, -0.498946, 0.0292701, 0; p2, 0.498946, -0.0292701, 0; p3, 0, 0, 0
t22.572; p1, -0.498895, 0.0299757, 0; p2, 0.498895, -0.0299757, 0; p3, 0, 0, 0
t22.573; p1, -0.498843, 0.0306813, 0; p2, 0.498843, -0.0306813, 0; p3, 0, 0, 0
t22.574; p1, -0.498789, 0.0313867, 0; p2, 0.498789, -0.0313867, 0; p3, 0, 0, 0
t22.575; p1, -0.498735, 0.0320921, 0; p2, 0.498735, -0.0320921, 0; p3, 0, 0, 0
t22.576; p1, -0.498679, 0.0327974, 0; p2, 0.498679, -0.0327974, 0; p3, 0, 0, 0
t22.577; p1, -0.498622, 0.0335027, 0; p2, 0.498622, -0.0335027, 0; p3, 0, 0, 0
t22.578; p1, -0.498564, 0.0342078, 0; p2, 0.498564, -0.0342078, 0; p3, 0, 0, 0
t22.579; p1, -0.498505, 0.0349129, 0; p2, 0.498505, -0.0349129, 0; p3, 0, 0, 0
t22.58; p1, -0.498444, 0.0356179, 0; p2, 0.498444, -0.0356179, 0; p3, 0, 0, 0
t22.581; p1, -0.498383, 0.0363228, 0; p2, 0.498383, -0.0363228, 0; p3, 0, 0, 0
t22.582; p1, -0.49832, 0.0370276, 0; p2, 0.49832, -0.0370276, 0; p3, 0, 0, 0
t22.583; p1, -0.498256, 0.0377324, 0; p2, 0.498256, -0.0377324, 0; p3, 0, 0, 0
t22.584; p1, -0.49819, 0.038437, 0; p2, 0.49819, -0.038437, 0; p3, 0, 0, 0
t22.585; p1, -0.498124, 0.0391415, 0; p2, 0.498124, -0.0391415, 0; p3, 0, 0, 0
t22.586; p1, -0.498056, 0.039846, 0; p2, 0.498056, -0.039846, 0; p3, 0, 0, 0
t22.587; p1, -0.497987, 0.0405503, 0; p2, 0.497987, -0.0405503, 0; p3, 0, 0, 0
t22.588; p1, -0.497917, 0.0412546, 0; p2, 0.497917, -0.0412546, 0; p3, 0, 0, 0
t22.589; p1, -0.497846, 0.0419588, 0; p2, 0.497846, -0.0419588, 0; p3, 0, 0, 0
t22.59; p1, -0.497773, 0.0426628, 0; p2, 0.497773, -0.0426628, 0; p3, 0, 0, 0
t22.591; p1, -0.4977, 0.0433668, 0; p2, 0.4977, -0.0433668, 0; p3, 0, 0, 0
t22.592; p1, -0.497625, 0.0440706, 0; p2, 0.497625, -0.0440706, 0; p3, 0, 0, 0
t22.593; p1, -0.497549, 0.0447744, 0; p2, 0.497549, -0.0447744, 0; p3, 0, 0, 0
t22.594; p1, -0.497472, 0.045478, 0; p2, 0.497472, -0.045478, 0; p3, 0, 0, 0
t22.595; p1, -0.497393, 0.0461815, 0; p2, 0.497393, -0.0461815, 0; p3, 0, 0, 0
t22.596; p1, -0.497314, 0.046885, 0; p2, 0.497314, -0.046885, 0; p3, 0, 0, 0
t22.597; p1, -0.497233, 0.0475883, 0; p2, 0.497233, -0.0475883, 0; p3, 0, 0, 0
t22.598; p1, -0.497151, 0.0482915, 0; p2, 0.497151, -0.0482915, 0; p3, 0, 0, 0
t22.599; p1, -0.497067, 0.0489945, 0; p2, 0.497067, -0.0489945, 0; p3, 0, 0, 0
t22.6; p1, -0.496983, 0.0496975, 0; p2, 0.496983, -0.0496975, 0; p3, 0, 0, 0
t22.601; p1, -0.496897, 0.0504003, 0; p2, 0.496897, -0.0504003, 0; p3, 0, 0, 0
t22.602; p1, -0.496811, 0.051103, 0; p2, 0.496811, -0.051103, 0; p3, 0, 0, 0
t22.603; p1, -0.496722, 0.0518056, 0; p2, 0.496722, -0.0518056, 0; p3, 0, 0, 0
t22.604; p1, -0.496633, 0.0525081, 0; p2, 0.496633, -0.0525081, 0; p3, 0, 0, 0
t22.605; p1, -0.496543, 0.0532104, 0; p2, 0.496543, -0.0532104, 0; p3, 0, 0, 0
t22.606; p1, -0.496451, 0.0539126, 0; p2, 0.496451, -0.0539126, 0; p3, 0, 0, 0
t22.607; p1, -0.496358, 0.0546147, 0; p2, 0.496358, -0.0546147, 0; p3, 0, 0, 0
t22.608; p1, -0.496264, 0.0553167, 0; p2, 0.496264, -0.0553167, 0; p3, 0, 0, 0
t22.609; p1, -0.496169, 0.0560185, 0; p2, 0.496169, -0.0560185, 0; p3, 0, 0, 0
t22.61; p1, -0.496073, 0.0567202, 0; p2, 0.496073, -0.0567202, 0; p3, 0, 0, 0
t22.611; p1, -0.495975, 0.0574217, 0; p2, 0.495975, -0.0574217, 0; p3, 0, 0, 0
t22.612; p1, -0.495876, 0.0581231, 0; p2, 0.495876, -0.0581231, 0; p3, 0, 0, 0
t22.613; p1, -0.495776, 0.0588244, 0; p2, 0.495776, -0.0588244, 0; p3, 0, 0, 0
t22.614; p1, -0.495675, 0.0595255, 0; p2, 0.495675, -0.0595255, 0; p3, 0, 0, 0
t22.615; p1, -0.495573, 0.0602265, 0; p2, 0.495573, -0.0602265, 0; p3, 0, 0, 0
t22.616; p1, -0.495469, 0.0609273, 0; p2, 0.495469, -0.0609273, 0; p3, 0, 0, 0
t22.617; p1, -0.495365, 0.061628, 0; p2, 0.495365, -0.061628, 0; p3, 0, 0, 0
t22.618; p1, -0.495259, 0.0623286, 0; p2, 0.495259, -0.0623286, 0; p3, 0, 0, 0
t22.619; p1, -0.495151, 0.063029, 0; p2, 0.495151, -0.063029, 0; p3, 0, 0, 0
t22.62; p1, -0.495043, 0.0637292, 0; p2, 0.495043, -0.0637292, 0; p3, 0, 0, 0
t22.621; p1, -0.494934, 0.0644293, 0; p2, 0.494934, -0.0644293, 0; p3, 0, 0, 0
t22.622; p1, -0.494823, 0.0651292, 0; p2, 0.494823, -0.0651292, 0; p3, 0, 0, 0
t22.623; p1, -0.494711, 0.065829, 0; p2, 0.494711, -0.065829, 0; p3, 0, 0, 0
t22.624; p1, -0.494598, 0.0665286, 0; p2, 0.494598, -0.0665286, 0; p3, 0, 0, 0
t22.625; p1, -0.494483, 0.0672281, 0; p2, 0.494483, -0.0672281, 0; p3, 0, 0, 0
t22.626; p1, -0.494368, 0.0679273, 0; p2, 0.494368, -0.0679273, 0; p3, 0, 0, 0
t22.627; p1, -0.494251, 0.0686265, 0; p2, 0.494251, -0.0686265, 0; p3, 0, 0, 0
